Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
01c Control Experiment without consideration of solvent,,MFF,6.0,1014.0,0.8777512131326813,0.06756881015243961
01c Control Experiment without consideration of solvent,,MFF,7.0,1009.0,0.8619703196447708,0.07414660177435366
01c Control Experiment without consideration of solvent,,MFF,8.0,1003.0,0.8463645280989405,0.07602317104950146
01c Control Experiment without consideration of solvent,,MFF,9.0,1010.0,0.8746262955076314,0.06917107337125418
01c Control Experiment without consideration of solvent,,MFF,0.0,1044.0,0.8512030992769799,0.07466945249642863
01c Control Experiment without consideration of solvent,,OHE,1.0,990.0,0.8163927827174525,0.08621610242982138
01c Control Experiment without consideration of solvent,,OHE,2.0,998.0,0.8084742350890755,0.08369346926017286
01c Control Experiment without consideration of solvent,,OHE,3.0,1007.0,0.8315348728969326,0.0834994895587884
01c Control Experiment without consideration of solvent,,OHE,4.0,991.0,0.8191751683161366,0.08498297841922531
01c Control Experiment without consideration of solvent,,OHE,5.0,1000.0,0.8173976600942419,0.08400483757512177
01c Control Experiment without consideration of solvent,,OHE,6.0,1014.0,0.8324870440948109,0.08292785121036217
01c Control Experiment without consideration of solvent,,OHE,7.0,1009.0,0.8285586339543738,0.08112580343039442
01c Control Experiment without consideration of solvent,,OHE,8.0,1003.0,0.7739356062485572,0.09321750191292903
01c Control Experiment without consideration of solvent,,OHE,9.0,1010.0,0.8474042454284818,0.07752793643937712
01c Control Experiment without consideration of solvent,,OHE,0.0,1044.0,0.7947742358355783,0.08768675008457799
02 Sparsity Simulation,0.8315665290169146,BERT,0.0,144.0,0.3793540425822377,0.17318607265763591
02 Sparsity Simulation,0.8315665290169146,BERT,1.0,144.0,0.3167647286153197,0.18247628439304367
02 Sparsity Simulation,0.8315665290169146,BERT,2.0,144.0,0.3207530872177782,0.18046796793105493
02 Sparsity Simulation,0.8315665290169146,BERT,3.0,144.0,0.3178142376380074,0.18328304743028992
02 Sparsity Simulation,0.8315665290169146,BERT,4.0,144.0,0.3871355870126052,0.16893928345582004
02 Sparsity Simulation,0.8315665290169146,BERT,5.0,144.0,0.3290025762408112,0.1878376200790292
02 Sparsity Simulation,0.8315665290169146,BERT,6.0,144.0,0.04011207083434465,0.21422515269376088
02 Sparsity Simulation,0.8315665290169146,BERT,7.0,144.0,0.3342170668349557,0.184167855988362
02 Sparsity Simulation,0.8315665290169146,BERT,8.0,144.0,0.08058032747612431,0.22434276969808808
02 Sparsity Simulation,0.8315665290169146,BERT,9.0,144.0,0.3941101530397363,0.1718954063502233
02 Sparsity Simulation,0.8608916593317348,BERT,0.0,288.0,0.4195161969296733,0.16979237451337414
02 Sparsity Simulation,0.8608916593317348,BERT,1.0,288.0,0.40150640632980494,0.1623581373297673
02 Sparsity Simulation,0.8608916593317348,BERT,2.0,288.0,0.4823022214066179,0.15427185239176958
02 Sparsity Simulation,0.8608916593317348,BERT,3.0,288.0,0.3924127155128735,0.17588312301756187
02 Sparsity Simulation,0.8608916593317348,BERT,4.0,288.0,0.4143092716193549,0.16643275691761558
02 Sparsity Simulation,0.8608916593317348,BERT,5.0,288.0,0.3193413791398304,0.17797022753817324
02 Sparsity Simulation,0.8608916593317348,BERT,6.0,288.0,0.4688746749206672,0.15921127400149054
02 Sparsity Simulation,0.8608916593317348,BERT,7.0,288.0,0.4227198165997443,0.1590303141231535
02 Sparsity Simulation,0.8608916593317348,BERT,8.0,288.0,0.4995384587837802,0.1547159725626726
02 Sparsity Simulation,0.8608916593317348,BERT,9.0,288.0,0.4577207761146173,0.16067019389729215
02 Sparsity Simulation,0.878522852790381,BERT,0.0,432.0,0.5593306550236226,0.14074244765679805
02 Sparsity Simulation,0.878522852790381,BERT,1.0,432.0,0.4895047364715267,0.1490092586703589
02 Sparsity Simulation,0.878522852790381,BERT,2.0,432.0,0.5156850210586719,0.14864322103244498
02 Sparsity Simulation,0.878522852790381,BERT,3.0,432.0,0.4852900163921817,0.1506338308850335
02 Sparsity Simulation,0.878522852790381,BERT,4.0,432.0,0.5413476390668557,0.1445335581281651
02 Sparsity Simulation,0.878522852790381,BERT,5.0,432.0,0.4758210283301272,0.1537137389071125
02 Sparsity Simulation,0.878522852790381,BERT,6.0,432.0,0.4639910519796108,0.1563125034536725
02 Sparsity Simulation,0.878522852790381,BERT,7.0,432.0,0.4976614988842654,0.14769106024456535
02 Sparsity Simulation,0.878522852790381,BERT,8.0,432.0,0.5242875531471978,0.14917408578869112
02 Sparsity Simulation,0.878522852790381,BERT,9.0,432.0,0.5480292346846475,0.14344448428777962
02 Sparsity Simulation,0.9012504626108302,BERT,0.0,720.0,0.6261860507882494,0.1253844738303417
02 Sparsity Simulation,0.9012504626108302,BERT,1.0,720.0,0.6203510223701848,0.1272184838891465
02 Sparsity Simulation,0.9012504626108302,BERT,2.0,720.0,0.6102554771604792,0.13080985863778896
02 Sparsity Simulation,0.9012504626108302,BERT,3.0,720.0,0.5964962628471211,0.1320683868110658
02 Sparsity Simulation,0.9012504626108302,BERT,4.0,720.0,0.5451611967075352,0.14098962271613438
02 Sparsity Simulation,0.9012504626108302,BERT,5.0,720.0,0.6097050115964,0.12723906181225986
02 Sparsity Simulation,0.9012504626108302,BERT,6.0,720.0,0.547687308944305,0.1431750985749265
02 Sparsity Simulation,0.9012504626108302,BERT,7.0,720.0,0.5548014578464735,0.13677497807015304
02 Sparsity Simulation,0.9012504626108302,BERT,8.0,720.0,0.5397600316362139,0.1452958880934684
02 Sparsity Simulation,0.9012504626108302,BERT,9.0,720.0,0.5906785968507688,0.13055742281001995
02 Sparsity Simulation,0.9095038942869434,BERT,0.0,864.0,0.615006827461043,0.12470993855087513
02 Sparsity Simulation,0.9095038942869434,BERT,1.0,864.0,0.5422677122623709,0.13712376446393895
02 Sparsity Simulation,0.9095038942869434,BERT,2.0,864.0,0.6261539636190163,0.12580679892673075
02 Sparsity Simulation,0.9095038942869434,BERT,3.0,864.0,0.6398225965631692,0.11904805026899835
02 Sparsity Simulation,0.9095038942869434,BERT,4.0,864.0,0.6717189373305004,0.1179306471493696
02 Sparsity Simulation,0.9095038942869434,BERT,5.0,864.0,0.6265027327264933,0.12451892214173345
02 Sparsity Simulation,0.9095038942869434,BERT,6.0,864.0,0.642925332042889,0.12235502064760514
02 Sparsity Simulation,0.9095038942869434,BERT,7.0,864.0,0.5703459771157897,0.13550633570292134
02 Sparsity Simulation,0.9095038942869434,BERT,8.0,864.0,0.6470479006362029,0.1213658990093327
02 Sparsity Simulation,0.9095038942869434,BERT,9.0,864.0,0.6825987868991383,0.11535340144574567
